"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged","region"
"1","ARG",2,1.7003,0.0182389,0.656556,5637,0.31,2.75,0,0,4.28125,24.82476,"Other"
"2","ARG",3,1.077615,0.0171555,-0.5792648,6168,0.31,9.75,0,0,4.28125,28.793039,"Other"
"3","ARG",4,-1.115285,0.0239942,-0.1356454,5849,0.31,1,0,0,4.28125,30.23452,"Other"
"4","ARG",5,-2.5513849,0.029963,-1.348296,5487,0.31,0,0,0,4.28125,29.739771,"Other"
"5","ARG",6,-1.099306,0.0157275,-1.0904191,5624,0.31,0.25,0,0,4.28125,20.330549,"Other"
"6","ARG",7,4.2587299,0.000756,1.294504,4706,0.31,0,0,0,4.28125,21.722401,"Other"
"7","BOL",2,1.29729,0.8619137,3.0712869,1661,0.68,0.75,0,0,2.270833,15.16255,"Other"
"8","BOL",3,2.9630489,0.8665824,2.84027,1838,0.68,0,0,0,2.270833,15.7813,"Other"
"9","BOL",4,-1.485289,1.182405,1.59246,2015,0.68,0.25,0,0,2.270833,15.8541,"Other"
"10","BOL",5,-4.3150082,1.4394799,-4.5035219,1864,0.68,0,0,0,2.270833,19.03047,"Other"
"11","BOL",6,-0.6470255,3.107549,2.7949729,1674,0.68,0,0,0,2.270833,18.197399,"Other"
"12","BOL",7,1.949474,3.3419769,3.1369851,1658,0.68,0.25,0,0,2.270833,14.90573,"Other"
"13","BRA",2,8.5805321,0.0687522,1.028062,2434,0.07,0,0,0,6.359375,18.439501,"Other"
"14","BRA",3,4.5406151,0.0290183,0.8499444,3458,0.07,0,0,0,6.359375,19.11652,"Other"
"15","BRA",4,1.21549,0.0158463,0.4292799,3886,0.07,0,0,0,6.359375,15.96847,"Other"
"16","BRA",5,0.3463339,0.0134887,-0.4519173,3968,0.07,0,0,0,6.359375,13.25914,"Other"
"17","BRA",6,1.676592,0.0085394,-2.0602369,4294,0.07,0.25,0,0,6.359375,11.59921,"Other"
"18","BRA",7,-2.048629,0.0227111,-1.0457129,4042,0.07,1.5,0,0,6.359375,33.728611,"Other"
"19","BWA",2,13.89921,10.3594999,NA,823,0.51,0,1,0,7,NA,"Sub-saharan Africa"
"20","BWA",3,6.1065969,6.025146,0.9333794,1362,0.51,0,1,0,7,NA,"Sub-saharan Africa"
