"","lykke","utdanning","skala10"
"1",6,3,10
"2",5,6,9
"3",10,9,6
"4",7,3,6
"5",7,3,9
"6",8,10,6
"7",8,3,8
"8",9,2,NA
"9",8,12,4
"10",8,3,4
"11",7,3,9
"12",10,5,9
"13",7,3,8
"14",9,5,8
"15",10,5,9
"16",7,3,2
"17",10,5,10
"18",8,5,10
"19",10,6,9
"20",10,5,10
"21",8,10,1
"22",8,6,10
"23",7,3,9
"24",7,3,10
"25",7,11,2
"26",8,6,10
"27",5,10,10
"28",10,13,4
"29",8,10,NA
"30",8,9,9
"31",8,13,4
"32",7,6,9
"33",9,3,7
"34",7,3,9
"35",9,3,9
"36",9,6,9
"37",8,13,3
"38",7,6,9
"39",8,10,4
"40",7,6,9
"41",7,11,10
"42",7,3,10
"43",8,6,10
"44",9,10,6
"45",9,9,6
"46",9,13,4
"47",5,5,9
"48",5,5,9
"49",10,6,10
"50",9,3,10
"51",10,13,3
"52",9,3,10
"53",7,10,7
"54",9,5,9
"55",8,9,6
"56",10,6,9
"57",8,10,4
"58",8,6,9
"59",9,12,1
"60",4,3,10
"61",9,3,9
"62",8,10,6
"63",10,3,10
"64",8,10,9
"65",9,2,9
"66",8,6,2
"67",9,5,9
"68",8,5,4
"69",7,8,10
"70",7,3,4
"71",5,6,9
"72",7,3,5
"73",8,6,10
"74",8,3,10
"75",6,8,9
"76",9,10,4
"77",7,6,9
"78",5,3,9
"79",5,8,10
"80",8,8,10
"81",10,3,9
"82",7,8,10
"83",5,13,10
"84",9,3,10
"85",8,3,3
"86",9,9,6
"87",6,3,2
"88",10,6,9
"89",9,8,10
"90",8,6,9
"91",10,3,NA
"92",9,10,9
"93",9,12,2
"94",8,5,9
"95",8,6,2
"96",8,5,10
"97",8,3,9
"98",7,3,9
"99",8,9,3
"100",8,10,4
"101",7,10,6
"102",6,13,3
"103",8,8,1
"104",8,3,9
"105",10,5,4
"106",8,3,9
"107",8,5,1
"108",6,3,9
"109",8,6,6
"110",8,5,9
"111",6,7,9
"112",10,9,4
"113",7,5,7
"114",8,3,10
"115",10,5,4
"116",8,5,4
"117",9,6,10
"118",8,11,2
"119",2,1,10
"120",3,2,3
"121",8,3,10
"122",6,10,3
"123",9,5,1
"124",9,7,9
"125",7,5,NA
"126",7,6,9
"127",10,2,NA
"128",8,13,1
"129",8,5,9
"130",9,5,7
"131",10,6,9
"132",9,6,5
"133",10,6,9
"134",7,3,9
"135",8,3,NA
"136",4,7,4
"137",8,10,1
"138",8,7,4
"139",4,10,4
"140",10,12,4
"141",8,4,8
"142",10,7,10
"143",10,3,10
"144",7,10,3
"145",7,6,NA
"146",9,8,9
"147",10,5,9
"148",10,13,3
"149",9,11,NA
"150",10,13,3
"151",7,13,3
"152",7,13,3
"153",9,3,NA
"154",10,11,4
"155",10,5,6
"156",9,13,4
"157",10,11,2
"158",6,9,4
"159",9,13,4
"160",7,13,3
"161",9,13,4
"162",8,10,3
"163",10,6,1
"164",9,13,3
"165",10,10,4
"166",9,10,4
"167",9,6,6
"168",8,5,9
"169",7,11,3
"170",7,12,3
"171",6,10,2
"172",9,13,4
"173",8,13,3
"174",10,13,4
"175",9,5,9
"176",8,13,4
"177",9,13,3
"178",9,12,3
"179",8,13,4
"180",8,11,1
"181",8,12,3
"182",9,3,9
"183",8,2,9
"184",9,5,4
"185",9,12,3
"186",7,13,3
"187",5,13,3
"188",9,10,4
"189",10,9,4
"190",8,11,2
"191",8,3,9
"192",8,6,4
"193",8,13,4
"194",8,5,2
"195",9,8,5
"196",10,10,4
"197",8,11,7
"198",9,5,10
"199",9,3,10
