"id","parti","start_aar","kjonn","fodselsaar","varighet","maa_gaa"
11,"DNA",1963,"Male",1916,747,0
11,"DNA",1972,"Male",1916,267,0
15,"DNA",1980,"Female",1925,123,0
15,"DNA",1981,"Female",1925,251,0
20,"Sp",1997,"Male",1935,826,0
29,"DNA",1973,"Male",1925,820,0
29,"DNA",1976,"Male",1925,624,0
29,"DNA",1977,"Male",1925,102,0
31,"H",1981,"Male",1935,601,1
32,"Sp",1972,"Male",1912,362,0
34,"DNA",1976,"Male",1943,624,0
34,"DNA",1977,"Male",1943,737,0
34,"DNA",1986,"Male",1943,1255,3
35,"DNA",1986,"Female",1952,766,4
48,"DNA",1986,"Male",1940,1255,1
48,"DNA",1992,"Male",1940,391,1
48,"DNA",1993,"Male",1940,1119,0
50,"DNA",1953,"Male",1891,32,0
50,"DNA",1954,"Male",1891,375,0
50,"DNA",1955,"Male",1891,1084,1
50,"DNA",1958,"Male",1891,833,0
56,"DNA",1990,"Male",1935,1062,0
56,"DNA",1993,"Male",1935,1119,0
56,"DNA",1996,"Male",1935,356,0
57,"DNA",1971,"Male",1918,580,0
57,"DNA",1980,"Male",1918,123,0
61,"H",1989,"Female",1924,382,0
64,"DNA",1955,"Female",1915,893,0
64,"DNA",1958,"Female",1915,1358,0
64,"DNA",1961,"Female",1915,695,0
64,"DNA",1963,"Female",1915,747,0
65,"DNA",1960,"Male",1913,525,0
65,"DNA",1961,"Male",1913,96,0
65,"DNA",1962,"Male",1913,350,0
74,"DNA",1973,"Male",1923,820,0
74,"DNA",1976,"Male",1923,624,0
74,"DNA",1977,"Male",1923,1221,2
74,"DNA",1981,"Male",1923,251,0
75,"KrF",1983,"Male",1947,845,0
75,"KrF",1985,"Male",1947,219,0
75,"KrF",1989,"Male",1947,382,0
75,"KrF",1997,"Male",1947,318,0
75,"KrF",1998,"Male",1947,539,2
75,"KrF",2001,"Male",1947,1458,2
76,"KrF",1963,"Male",1901,27,0
76,"KrF",1965,"Male",1901,1449,5
76,"KrF",1969,"Male",1901,531,1
79,"Sp",1963,"Male",1908,27,0
80,"DNA",1986,"Male",1939,766,3
80,"DNA",1988,"Male",1939,489,1
80,"DNA",1990,"Male",1939,671,0
81,"V",1965,"Male",1913,1449,1
81,"V",1969,"Male",1913,531,4
84,"DNA",1951,"Male",1910,783,0
84,"DNA",1954,"Male",1910,375,0
84,"DNA",1956,"Male",1910,378,0
84,"DNA",1958,"Male",1910,833,0
84,"DNA",1960,"Male",1910,525,0
84,"DNA",1961,"Male",1910,695,1
84,"DNA",1963,"Male",1910,117,1
84,"DNA",1971,"Male",1910,580,1
84,"DNA",1973,"Male",1910,820,3
85,"H",1981,"Male",1920,601,2
85,"H",1983,"Male",1920,100,0
95,"DNA",1945,"Male",1908,761,1
