"","id","kjonn","alder","utdanning","relig_denom","aksept_homofili","aksept_abort","aksept_aktiv_dodshjelp","ant_barn"
"1","resp1",NA,1947,"lower secondary or second stage of basic education","ingen religion",NA,NA,NA,2
"2","resp2",NA,1945,NA,"ingen religion",NA,NA,NA,NA
"3","resp3",NA,1940,NA,"protestant",NA,NA,NA,NA
"4","resp4","mann",1990,"(upper) secondary education","ingen religion",10,10,8,0
"5","resp5","mann",1984,"first stage of tertiary education","protestant",10,8,6,0
"6","resp6","mann",1985,"post-secondary non-tertiary education","protestant",5,7,5,0
"7","resp7","mann",1987,"(upper) secondary education","ingen religion",8,8,8,0
"8","resp8","mann",1989,"lower secondary or second stage of basic education","protestant",2,4,7,0
"9","resp9","mann",1986,"(upper) secondary education","ingen religion",5,5,5,0
"10","resp10","mann",1985,"lower secondary or second stage of basic education","protestant",2,5,1,1
"11","resp11","mann",1984,"(upper) secondary education","ingen religion",10,8,6,0
"12","resp12","mann",1989,"(upper) secondary education","ingen religion",10,5,5,0
"13","resp13","mann",1990,"lower secondary or second stage of basic education","protestant",4,8,8,0
"14","resp14","mann",1989,"lower secondary or second stage of basic education","protestant",10,9,10,0
"15","resp15","mann",1987,"(upper) secondary education","ingen religion",10,5,6,0
"16","resp16","mann",1985,"(upper) secondary education","protestant",10,10,5,0
"17","resp17","mann",1984,"first stage of tertiary education","ingen religion",10,10,8,0
"18","resp18","mann",1989,"(upper) secondary education","ingen religion",10,7,8,0
"19","resp19","mann",1989,"(upper) secondary education","ingen religion",10,8,8,0
"20","resp20","mann",1986,"lower secondary or second stage of basic education","muslim",3,4,1,0
"21","resp21","mann",1984,"first stage of tertiary education","protestant",10,10,8,0
"22","resp22","mann",1984,"post-secondary non-tertiary education","ingen religion",7,9,10,1
"23","resp23","mann",1984,"first stage of tertiary education","ingen religion",9,9,10,0
"24","resp24","mann",1984,"lower secondary or second stage of basic education","protestant",9,10,5,0
"25","resp25","mann",1990,"lower secondary or second stage of basic education","ingen religion",10,9,9,0
"26","resp26","mann",1989,"lower secondary or second stage of basic education","protestant",10,10,5,0
"27","resp27","mann",1986,"first stage of tertiary education","ingen religion",7,6,5,0
"28","resp28","mann",1986,"(upper) secondary education","protestant",9,6,7,0
"29","resp29","mann",1989,"(upper) secondary education","protestant",3,8,8,0
"30","resp30","mann",1990,"lower secondary or second stage of basic education","protestant",7,NA,1,0
"31","resp31","mann",1990,"(upper) secondary education","protestant",1,10,10,0
"32","resp32","mann",1986,"(upper) secondary education","ingen religion",5,5,1,0
"33","resp33","mann",1984,"post-secondary non-tertiary education","ingen religion",10,7,8,1
"34","resp34","mann",1989,"(upper) secondary education","protestant",10,10,9,0
"35","resp35","mann",1988,"lower secondary or second stage of basic education","ingen religion",5,7,7,0
"36","resp36","mann",1984,"first stage of tertiary education","protestant",9,8,5,0
"37","resp37","mann",1986,"(upper) secondary education","protestant",5,5,9,0
"38","resp38","mann",1986,"lower secondary or second stage of basic education","protestant",5,5,1,0
"39","resp39","mann",1985,"(upper) secondary education","protestant",9,9,8,0
"40","resp40","mann",1985,"lower secondary or second stage of basic education","ingen religion",10,3,10,0
"41","resp41","mann",1990,"(upper) secondary education","protestant",3,3,3,0
"42","resp42","mann",1985,"(upper) secondary education","ingen religion",10,7,5,0
"43","resp43","mann",1987,"lower secondary or second stage of basic education","Other",1,1,1,0
"44","resp44","mann",1990,"lower secondary or second stage of basic education","protestant",4,7,8,0
"45","resp45","mann",1988,"lower secondary or second stage of basic education","protestant",1,1,2,0
"46","resp46","mann",1989,"(upper) secondary education","ingen religion",1,10,1,0
"47","resp47","mann",1985,"lower secondary or second stage of basic education","ingen religion",10,4,8,1
"48","resp48","mann",1990,"lower secondary or second stage of basic education","protestant",7,8,10,0
"49","resp49","mann",1989,"lower secondary or second stage of basic education","protestant",6,5,7,0
"50","resp50","mann",1986,"lower secondary or second stage of basic education","protestant",NA,5,4,0
"51","resp51","mann",1988,"lower secondary or second stage of basic education","ingen religion",7,5,5,0
"52","resp52","mann",1988,"lower secondary or second stage of basic education","ingen religion",8,5,1,0
"53","resp53","mann",1990,"lower secondary or second stage of basic education","free church/ non-conformist/ evangelical",8,1,3,0
"54","resp54","mann",1988,"lower secondary or second stage of basic education","ingen religion",5,5,1,0
"55","resp55","mann",1988,"(upper) secondary education","protestant",10,10,5,0
"56","resp56","mann",1985,"(upper) secondary education","protestant",10,8,8,0
"57","resp57","mann",1984,"lower secondary or second stage of basic education","ingen religion",8,2,2,0
"58","resp58","mann",1987,"lower secondary or second stage of basic education","protestant",1,6,5,0
"59","resp59","mann",1990,"lower secondary or second stage of basic education","protestant",8,8,10,0
"60","resp60","mann",1988,"(upper) secondary education","ingen religion",10,9,10,0
"61","resp61","mann",1989,"lower secondary or second stage of basic education","protestant",4,6,5,0
"62","resp62","mann",1988,"(upper) secondary education","free church/ non-conformist/ evangelical",5,1,1,0
"63","resp63","mann",1985,"(upper) secondary education","protestant",10,6,7,0
"64","resp64","mann",1985,"lower secondary or second stage of basic education","ingen religion",2,4,4,0
"65","resp65","mann",1989,"lower secondary or second stage of basic education","protestant",4,5,5,0
"66","resp66","mann",1985,"first stage of tertiary education","protestant",10,8,10,0
"67","resp67","mann",1986,"first stage of tertiary education","ingen religion",2,2,6,0
"68","resp68","mann",1988,"(upper) secondary education","protestant",10,10,5,0
"69","resp69","mann",1990,"(upper) secondary education","protestant",7,7,5,0
"70","resp70","mann",1986,"lower secondary or second stage of basic education","protestant",9,3,2,0
"71","resp71","mann",1990,"lower secondary or second stage of basic education","ingen religion",7,7,9,0
"72","resp72","mann",1986,"lower secondary or second stage of basic education","protestant",10,10,8,0
"73","resp73","mann",1988,"(upper) secondary education","protestant",8,7,6,0
"74","resp74","mann",1988,"(upper) secondary education","protestant",4,6,6,0
"75","resp75","mann",1985,"lower secondary or second stage of basic education","protestant",10,10,5,0
"76","resp76","mann",1975,"(upper) secondary education","protestant",8,7,10,2
"77","resp77","mann",1975,"first stage of tertiary education","protestant",10,8,8,0
"78","resp78","mann",1979,"first stage of tertiary education","protestant",1,1,4,1
"79","resp79","mann",1979,"(upper) secondary education","protestant",10,1,8,2
"80","resp80","mann",1982,"lower secondary or second stage of basic education","protestant",5,5,7,2
"81","resp81","mann",1975,"(upper) secondary education","protestant",10,7,6,3
"82","resp82","mann",1974,"post-secondary non-tertiary education","protestant",10,10,6,2
"83","resp83","mann",1978,"(upper) secondary education","protestant",1,3,1,2
"84","resp84","mann",1983,"first stage of tertiary education","protestant",9,9,7,0
"85","resp85","mann",1976,"first stage of tertiary education","muslim",4,2,5,1
"86","resp86","mann",1974,"first stage of tertiary education","protestant",10,9,6,0
"87","resp87","mann",1977,"first stage of tertiary education","ingen religion",10,9,2,0
"88","resp88","mann",1974,"first stage of tertiary education","protestant",10,10,6,2
"89","resp89","mann",1982,"first stage of tertiary education","ingen religion",9,9,8,0
"90","resp90","mann",1979,"first stage of tertiary education","ingen religion",9,9,8,0
"91","resp91","mann",1982,"first stage of tertiary education","protestant",10,10,5,0
"92","resp92","mann",1981,"lower secondary or second stage of basic education","protestant",10,7,5,0
"93","resp93","mann",1981,"first stage of tertiary education","protestant",4,5,7,0
"94","resp94","mann",1977,"(upper) secondary education","ingen religion",1,2,5,0
"95","resp95","mann",1983,"lower secondary or second stage of basic education","protestant",10,10,10,0
"96","resp96","mann",1974,"(upper) secondary education","protestant",5,5,10,0
"97","resp97","mann",1977,"second stage of tertiary education","protestant",10,8,8,0
"98","resp98","mann",1983,"first stage of tertiary education","ingen religion",8,9,3,0
"99","resp99","mann",1978,"(upper) secondary education","muslim",1,1,1,2
"100","resp100","mann",1974,"(upper) secondary education","protestant",10,6,5,2
"101","resp101","mann",1982,"first stage of tertiary education","protestant",9,8,8,0
"102","resp102","mann",1982,"lower secondary or second stage of basic education","protestant",10,5,6,1
"103","resp103","mann",1977,"first stage of tertiary education","Orthodox",NA,2,4,3
"104","resp104","mann",1974,"(upper) secondary education","protestant",1,4,5,0
"105","resp105","mann",1976,"first stage of tertiary education","ingen religion",10,10,8,0
"106","resp106","mann",1982,"first stage of tertiary education","ingen religion",9,9,8,0
"107","resp107","mann",1982,"first stage of tertiary education","protestant",7,7,4,0
"108","resp108","mann",1974,"first stage of tertiary education","protestant",9,7,5,2
"109","resp109","mann",1975,"first stage of tertiary education","protestant",2,2,1,0
