"wage76","grade76","black","south76","momdad14","sinmom14","daded","momed","famed","age76","col4","exp76"
NA,NA,1,NA,0,1,9.9372,11,1,28,0,NA
1.7011,7,1,0,1,0,9.9372,10.251,1,29,0,16
1.5707,12,0,0,1,0,8,8,2,27,0,9
1.9755,12,0,0,1,0,14,12,8,34,0,16
0.9163,11,0,0,1,0,11,12,4,27,1,10
1.9865,12,0,0,1,0,8,7,2,34,1,16
1.6094,12,0,0,1,0,9,12,4,26,1,8
1.7317,18,0,0,1,0,14,14,9,33,1,9
1.805,14,0,0,1,0,14,14,9,29,1,9
1.4469,12,0,0,1,0,12,12,7,28,1,10
1.639,12,0,0,1,0,12,12,7,29,1,11
0.8109,9,0,0,1,0,11,12,4,28,1,13
1.3863,12,0,0,1,0,11,6,2,26,1,8
1.4279,11,0,0,1,0,11,6,2,24,1,7
0.7747,11,0,0,1,0,11,6,2,30,1,13
2.1905,16,1,0,0,1,9.9372,8,1,31,1,9
1.0986,14,0,0,1,0,15,12,8,24,1,4
NA,11,0,0,1,0,7,12,4,34,1,17
1.2413,12,0,0,1,0,12,8,5,34,1,16
1.884,14,0,0,0,1,9.9372,12,6,29,1,9
NA,NA,0,NA,1,0,9,12,4,34,1,NA
1.7492,10,0,0,1,0,8,8,2,26,1,10
1.4702,NA,0,0,1,0,6,10.251,1,32,1,NA
NA,10,0,0,1,0,9.9372,8,1,27,1,11
1.8703,12,0,0,1,0,8,8,2,32,1,14
2.245,18,0,1,1,0,12,13,8,32,1,8
NA,NA,0,NA,1,0,18,16,9,29,1,NA
NA,NA,0,NA,1,0,11,17,4,27,1,NA
1.8148,18,0,0,1,0,9.9372,8,1,34,1,10
1.9824,15,0,0,1,0,5,14,4,32,1,11
1.7984,12,0,0,1,0,14,12,8,28,1,10
1.9359,12,0,0,1,0,11,12,4,32,1,14
NA,NA,0,NA,1,0,12,12,7,32,1,NA
NA,14,0,0,1,0,8,12,4,25,1,5
2.6391,18,0,0,1,0,14,13,9,34,1,10
1.0986,12,0,0,1,0,7,12,4,26,1,8
2.8904,18,0,0,1,0,16,16,9,32,1,8
1.4183,12,0,0,1,0,11,12,4,25,1,7
1.8437,14,0,0,0,1,9.9372,16,6,29,1,9
NA,15,0,0,1,0,12,12,7,26,1,5
1.7492,NA,0,0,0,1,9.9372,12,6,25,1,NA
NA,NA,0,NA,1,0,13,9,5,31,1,NA
NA,NA,0,NA,0,1,9.9372,6,1,24,1,NA
NA,NA,1,NA,1,0,8,8,2,31,1,NA
NA,NA,0,NA,1,0,12,12,7,28,1,NA
NA,NA,0,NA,1,0,6,6,2,27,1,NA
0.7324,12,0,0,1,0,12,12,7,25,1,7
1.5195,12,1,0,0,1,9.9372,11,1,25,1,7
1.7405,12,1,0,0,0,9.9372,10.251,1,29,1,11
NA,NA,1,NA,1,0,8,9,2,26,1,NA
NA,NA,1,NA,0,1,9.9372,10.251,1,27,1,NA
NA,NA,1,NA,1,0,8,13,4,32,1,NA
2.109,16,0,0,1,0,10,10,3,24,1,2
1.7527,18,0,0,0,1,9.9372,12,6,34,1,10
0.9361,11,0,0,0,0,6,10,2,28,1,11
NA,NA,0,NA,0,1,9.9372,10.251,1,28,1,NA
NA,NA,0,NA,1,0,8,8,2,24,1,NA
NA,NA,1,NA,1,0,8,8,2,33,1,NA
NA,NA,1,NA,0,0,9.9372,10.251,1,34,1,NA
NA,NA,1,NA,1,0,9.9372,10.251,1,29,1,NA
1.1939,7,1,0,0,1,9.9372,10.251,1,30,1,17
2.2638,16,0,0,1,0,12,12,7,30,1,8
2.245,10,0,0,1,0,8,6,2,31,1,15
2.4389,18,0,0,1,0,8,11,2,34,1,10
NA,NA,1,NA,0,1,9.9372,10,1,24,1,NA
NA,NA,1,NA,0,1,9.9372,12,6,27,1,NA
NA,NA,1,NA,0,0,9.9372,10.251,1,24,1,NA
NA,12,0,0,1,0,9.9372,5,1,32,1,14
NA,13,1,0,1,0,9,10,3,27,1,8
NA,NA,1,NA,1,0,9,9,3,26,1,NA
NA,NA,1,NA,1,0,9,9,3,24,1,NA
NA,NA,1,NA,1,0,8,11,2,24,1,NA
NA,NA,1,NA,0,1,9.9372,10,1,26,1,NA
NA,NA,1,NA,1,0,10,12,4,30,1,NA
NA,NA,1,NA,1,0,10,12,4,27,1,NA
NA,NA,0,NA,1,0,2,6,2,28,1,NA
1.1756,6,0,0,1,0,2,6,2,27,1,15
NA,NA,1,NA,1,0,12,13,8,28,1,NA
0.8544,11,1,0,1,0,6,12,4,24,1,7
2.3026,12,0,0,1,0,11,10,3,34,1,16
1.5707,9,0,0,0,1,9.9372,12,6,26,1,11
1.831,15,0,0,1,0,10,12,4,32,1,11
1.8718,11,0,0,1,0,8,10,2,34,1,17
NA,NA,1,NA,0,1,12,9,5,31,1,NA
NA,NA,1,NA,1,0,12,12,7,25,1,NA
NA,NA,1,NA,1,0,12,12,7,29,1,NA
1.2355,12,1,0,0,1,9.9372,10,1,24,1,6
NA,NA,1,NA,0,1,9.9372,12,6,26,1,NA
NA,NA,1,NA,0,1,9.9372,12,6,25,1,NA
1.335,16,0,1,1,0,12,10,5,24,1,2
1.2613,12,0,0,1,0,12,11,5,24,1,6
1.8856,13,0,0,0,1,9.9372,12,6,25,1,6
1.8262,17,0,0,1,0,10,10,3,28,1,5
NA,NA,0,NA,1,0,12,12,7,27,1,NA
NA,NA,0,NA,1,0,10,10,3,26,1,NA
NA,NA,0,NA,1,0,18,15,9,34,1,NA
1.4816,12,0,0,1,0,10,11,3,25,1,7
1.9988,12,1,0,1,0,12,10,5,26,1,8
NA,14,1,0,1,0,11,12,4,24,1,4
NA,NA,1,NA,1,0,12,12,7,25,1,NA
NA,NA,1,NA,0,0,8,3,2,32,1,NA
1.0296,11,1,1,1,0,5,5,2,31,1,14
NA,NA,1,NA,1,0,12,12,7,29,1,NA
