"congress","name","term_start","age","birth_year","suffix","incumbent","state","has_suffix"
88,"Abraham Alexander Ribicoff",1910,52.8,1910,NA,FALSE,"CT",0
89,"Abraham Alexander Ribicoff",1910,54.7,1910,NA,TRUE,"CT",0
90,"Abraham Alexander Ribicoff",1910,56.8,1910,NA,TRUE,"CT",0
91,"Abraham Alexander Ribicoff",1910,58.7,1910,NA,TRUE,"CT",0
92,"Abraham Alexander Ribicoff",1910,60.8,1910,NA,TRUE,"CT",0
93,"Abraham Alexander Ribicoff",1910,62.7,1910,NA,TRUE,"CT",0
94,"Abraham Alexander Ribicoff",1910,64.8,1910,NA,TRUE,"CT",0
95,"Abraham Alexander Ribicoff",1910,66.7,1910,NA,TRUE,"CT",0
96,"Abraham Alexander Ribicoff",1910,68.8,1910,NA,TRUE,"CT",0
80,"Absalom Willis Robertson",1887,59.6,1887,NA,TRUE,"VA",0
81,"Absalom Willis Robertson",1887,61.6,1887,NA,TRUE,"VA",0
82,"Absalom Willis Robertson",1887,63.6,1887,NA,TRUE,"VA",0
83,"Absalom Willis Robertson",1887,65.6,1887,NA,TRUE,"VA",0
84,"Absalom Willis Robertson",1887,67.6,1887,NA,TRUE,"VA",0
85,"Absalom Willis Robertson",1887,69.6,1887,NA,TRUE,"VA",0
86,"Absalom Willis Robertson",1887,71.6,1887,NA,TRUE,"VA",0
87,"Absalom Willis Robertson",1887,73.6,1887,NA,TRUE,"VA",0
88,"Absalom Willis Robertson",1887,75.6,1887,NA,TRUE,"VA",0
89,"Absalom Willis Robertson",1887,77.6,1887,NA,TRUE,"VA",0
91,"Adlai Ewing Stevenson",1930,38.2,1930,"III",FALSE,"IL",1
92,"Adlai Ewing Stevenson",1930,40.3,1930,"III",TRUE,"IL",1
93,"Adlai Ewing Stevenson",1930,42.2,1930,"III",TRUE,"IL",1
94,"Adlai Ewing Stevenson",1930,44.3,1930,"III",TRUE,"IL",1
95,"Adlai Ewing Stevenson",1930,46.2,1930,"III",TRUE,"IL",1
96,"Adlai Ewing Stevenson",1930,48.3,1930,"III",TRUE,"IL",1
91,"Alan Cranston",1914,54.5,1914,NA,FALSE,"CA",0
92,"Alan Cranston",1914,56.6,1914,NA,TRUE,"CA",0
93,"Alan Cranston",1914,58.5,1914,NA,TRUE,"CA",0
